name,type,start_time,duration,"mosi","miso"
"SPI","enable",23.94107414,0.00000002,,
"SPI","result",23.9410747,0.00000236,0x7F,0x00
"SPI","result",23.94107806,0.00000236,0x00,0x00
"SPI","disable",23.94108072,0.00000002,,
"SPI","enable",23.9410811,0.00000002,,
"SPI","result",23.9410817,0.00000236,0x06,0x00
"SPI","result",23.94108482,0.00000236,0x80,0x00
"SPI","disable",23.9410875,0.00000002,,
"SPI","enable",24.04111772,0.00000002,,
"SPI","result",24.04111836,0.00000236,0x7F,0x00
"SPI","result",24.04112158,0.00000236,0x00,0x00
"SPI","disable",24.04112424,0.00000002,,
"SPI","enable",24.04112462,0.00000002,,
"SPI","result",24.04112522,0.00000236,0x03,0x00
"SPI","result",24.04112836,0.00000236,0x10,0x00
"SPI","disable",24.04113104,0.00000002,,
"SPI","enable",24.04113248,0.00000002,,
"SPI","result",24.04113298,0.00000236,0x7F,0x00
"SPI","result",24.04113616,0.00000236,0x00,0x00
"SPI","disable",24.04113888,0.00000002,,
"SPI","enable",24.0411396,0.00000002,,
"SPI","result",24.04114004,0.00000236,0x80,0x00
"SPI","result",24.0411435,0.00000236,0x00,0xE0
"SPI","disable",24.0411465,0.00000002,,
"SPI","enable",24.04114818,0.00000002,,
"SPI","result",24.0411487,0.00000234,0x7F,0x00
"SPI","result",24.04115186,0.00000236,0x00,0x00
"SPI","disable",24.04115458,0.00000002,,
"SPI","enable",24.04115496,0.00000002,,
"SPI","result",24.04115546,0.00000236,0x06,0x00
"SPI","result",24.04115858,0.00000236,0x01,0x00
"SPI","disable",24.04116132,0.00000002,,
"SPI","enable",24.07120722,0.00000002,,
"SPI","result",24.07120784,0.00000236,0x7F,0x00
"SPI","result",24.07121108,0.00000236,0x00,0x00
"SPI","disable",24.07121374,0.00000002,,
"SPI","enable",24.07121412,0.00000002,,
"SPI","result",24.07121472,0.00000236,0x0F,0x00
"SPI","result",24.07121784,0.00000236,0xC0,0x00
"SPI","disable",24.07122052,0.00000002,,
"SPI","enable",24.07122258,0.00000002,,
"SPI","result",24.07122308,0.00000236,0x7F,0x00
"SPI","result",24.07122626,0.00000236,0x00,0x00
"SPI","disable",24.07122896,0.00000002,,
"SPI","enable",24.07122968,0.00000002,,
"SPI","result",24.07123014,0.00000236,0x80,0x00
"SPI","result",24.0712336,0.00000236,0x00,0xE0
"SPI","disable",24.0712366,0.00000002,,
"SPI","enable",24.07123912,0.00000002,,
"SPI","result",24.07123962,0.00000236,0x7F,0x00
"SPI","result",24.0712428,0.00000236,0x00,0x00
"SPI","disable",24.0712455,0.00000002,,
"SPI","enable",24.07124612,0.00000002,,
"SPI","result",24.07124658,0.00000234,0x86,0x00
"SPI","result",24.07124988,0.00000236,0x00,0x01
"SPI","disable",24.0712529,0.00000002,,
"SPI","enable",24.071255,0.00000002,,
"SPI","result",24.0712555,0.00000236,0x7F,0x00
"SPI","result",24.07125868,0.00000236,0x00,0x00
"SPI","disable",24.07126138,0.00000002,,
"SPI","enable",24.07126178,0.00000002,,
"SPI","result",24.07126228,0.00000236,0x06,0x00
"SPI","result",24.0712654,0.00000236,0x09,0x00
"SPI","disable",24.07126814,0.00000002,,
"SPI","enable",24.07126956,0.00000002,,
"SPI","result",24.07127006,0.00000236,0x7F,0x00
"SPI","result",24.07127324,0.00000236,0x00,0x00
"SPI","disable",24.07127594,0.00000002,,
"SPI","enable",24.07127632,0.00000002,,
"SPI","result",24.07127684,0.00000236,0x07,0x00
"SPI","result",24.07127996,0.00000236,0x00,0x00
"SPI","disable",24.07128268,0.00000002,,
"SPI","enable",24.07128618,0.00000002,,
"SPI","result",24.07128668,0.00000236,0x7F,0x00
"SPI","result",24.07128986,0.00000236,0x20,0x00
"SPI","disable",24.07129256,0.00000002,,
"SPI","enable",24.07129294,0.00000002,,
"SPI","result",24.07129344,0.00000236,0x00,0x00
"SPI","result",24.07129658,0.00000234,0x00,0x00
"SPI","disable",24.0712993,0.00000002,,
"SPI","enable",24.0713069,0.00000002,,
"SPI","result",24.0713074,0.00000236,0x7F,0x00
"SPI","result",24.07131058,0.00000236,0x20,0x00
"SPI","disable",24.07131328,0.00000002,,
"SPI","enable",24.07131368,0.00000002,,
"SPI","result",24.07131418,0.00000236,0x10,0x00
"SPI","result",24.0713173,0.00000236,0x00,0x00
"SPI","disable",24.07132004,0.00000002,,
"SPI","enable",24.07132156,0.00000002,,
"SPI","result",24.07132206,0.00000236,0x7F,0x00
"SPI","result",24.07132524,0.00000236,0x20,0x00
"SPI","disable",24.07132796,0.00000002,,
"SPI","enable",24.07132834,0.00000002,,
"SPI","result",24.07132884,0.00000236,0x11,0x00
"SPI","result",24.07133196,0.00000236,0x00,0x00
"SPI","disable",24.0713347,0.00000002,,
"SPI","enable",24.07134002,0.00000002,,
"SPI","result",24.07134052,0.00000236,0x7F,0x00
"SPI","result",24.0713437,0.00000236,0x20,0x00
"SPI","disable",24.07134642,0.00000002,,
"SPI","enable",24.07134704,0.00000002,,
"SPI","result",24.07134748,0.00000236,0x81,0x00
"SPI","result",24.07135078,0.00000236,0x00,0x01
"SPI","disable",24.0713538,0.00000002,,
"SPI","enable",24.07135548,0.00000002,,
"SPI","result",24.07135598,0.00000236,0x7F,0x00
"SPI","result",24.07135914,0.00000236,0x20,0x00
"SPI","disable",24.07136186,0.00000002,,
"SPI","enable",24.07136224,0.00000002,,
"SPI","result",24.07136274,0.00000236,0x01,0x00
"SPI","result",24.07136586,0.00000236,0x29,0x00
"SPI","disable",24.0713686,0.00000002,,
"SPI","enable",24.07137046,0.00000002,,
"SPI","result",24.07137098,0.00000236,0x7F,0x00
"SPI","result",24.07137414,0.00000236,0x20,0x00
"SPI","disable",24.07137686,0.00000002,,
"SPI","enable",24.07137748,0.00000002,,
"SPI","result",24.07137792,0.00000236,0x81,0x00
"SPI","result",24.07138124,0.00000236,0x00,0x29
"SPI","disable",24.07138426,0.00000002,,
"SPI","enable",24.07138586,0.00000002,,
"SPI","result",24.07138636,0.00000236,0x7F,0x00
"SPI","result",24.07138954,0.00000236,0x20,0x00
"SPI","disable",24.07139224,0.00000002,,
"SPI","enable",24.07139264,0.00000002,,
"SPI","result",24.07139314,0.00000236,0x01,0x00
"SPI","result",24.07139626,0.00000236,0x29,0x00
"SPI","disable",24.071399,0.00000002,,
"SPI","enable",24.0714008,0.00000002,,
"SPI","result",24.07140132,0.00000234,0x7F,0x00
"SPI","result",24.07140448,0.00000236,0x20,0x00
"SPI","disable",24.0714072,0.00000002,,
"SPI","enable",24.07140782,0.00000002,,
"SPI","result",24.07140826,0.00000236,0x81,0x00
"SPI","result",24.07141158,0.00000236,0x00,0x29
"SPI","disable",24.0714146,0.00000002,,
"SPI","enable",24.12143836,0.00000002,,
"SPI","result",24.12143898,0.00000236,0x7F,0x00
"SPI","result",24.12144222,0.00000236,0x00,0x00
"SPI","disable",24.12144486,0.00000002,,
"SPI","enable",24.12144526,0.00000002,,
"SPI","result",24.12144586,0.00000236,0x03,0x00
"SPI","result",24.12144898,0.00000236,0x40,0x00
"SPI","disable",24.12145166,0.00000002,,
"SPI","enable",24.12145324,0.00000002,,
"SPI","result",24.12145374,0.00000236,0x7F,0x00
"SPI","result",24.12145692,0.00000236,0x00,0x00
"SPI","disable",24.12145964,0.00000002,,
"SPI","enable",24.12146002,0.00000002,,
"SPI","result",24.12146052,0.00000236,0x69,0x00
"SPI","result",24.12146364,0.00000236,0x0F,0x00
"SPI","disable",24.12146638,0.00000002,,
"SPI","enable",24.1214679,0.00000002,,
"SPI","result",24.12146842,0.00000236,0x7F,0x00
"SPI","result",24.12147158,0.00000236,0x00,0x00
"SPI","disable",24.1214743,0.00000002,,
"SPI","enable",24.12147468,0.00000002,,
"SPI","result",24.12147518,0.00000236,0x67,0x00
"SPI","result",24.1214783,0.00000236,0x0E,0x00
"SPI","disable",24.12148104,0.00000002,,
"SPI","enable",24.12148258,0.00000002,,
"SPI","result",24.12148308,0.00000236,0x7F,0x00
"SPI","result",24.12148624,0.00000236,0x00,0x00
"SPI","disable",24.12148896,0.00000002,,
"SPI","enable",24.12148934,0.00000002,,
"SPI","result",24.12148984,0.00000236,0x68,0x00
"SPI","result",24.12149296,0.00000236,0x0F,0x00
"SPI","disable",24.1214957,0.00000002,,
"SPI","enable",24.12149724,0.00000002,,
"SPI","result",24.12149774,0.00000236,0x7F,0x00
"SPI","result",24.12150092,0.00000236,0x00,0x00
"SPI","disable",24.12150362,0.00000002,,
"SPI","enable",24.121504,0.00000002,,
"SPI","result",24.1215045,0.00000236,0x68,0x00
"SPI","result",24.12150762,0.00000236,0x00,0x00
"SPI","disable",24.12151036,0.00000002,,
"SPI","enable",24.1215119,0.00000002,,
"SPI","result",24.1215124,0.00000236,0x7F,0x00
"SPI","result",24.12151558,0.00000236,0x00,0x00
"SPI","disable",24.12151828,0.00000002,,
"SPI","enable",24.12151866,0.00000002,,
"SPI","result",24.12151916,0.00000236,0x03,0x00
"SPI","result",24.1215223,0.00000236,0x40,0x00
"SPI","disable",24.12152502,0.00000002,,
"SPI","enable",24.12653308,0.00000002,,
"SPI","result",24.12653362,0.00000236,0x7F,0x00
"SPI","result",24.12653688,0.00000236,0x00,0x00
"SPI","disable",24.12653954,0.00000002,,
"SPI","enable",24.12654026,0.00000002,,
"SPI","result",24.1265407,0.00000236,0xF0,0x00
"SPI","result",24.12654418,0.00000236,0x00,0x00
"SPI","result",24.12654754,0.00000236,0x00,0x24
"SPI","disable",24.12655056,0.00000002,,
"SPI","enable",24.13156802,0.00000002,,
"SPI","result",24.13156858,0.00000236,0x7F,0xFF
"SPI","result",24.13157184,0.00000236,0x00,0xFF
"SPI","disable",24.1315745,0.00000002,,
"SPI","enable",24.13157512,0.00000002,,
"SPI","result",24.13157556,0.00000236,0xF0,0xFF
"SPI","result",24.13157886,0.00000236,0x00,0x00
"SPI","result",24.13158222,0.00000236,0x00,0x48
"SPI","disable",24.13158524,0.00000002,,
"SPI","enable",24.13660334,0.00000002,,
"SPI","result",24.1366039,0.00000236,0x7F,0xFF
"SPI","result",24.13660716,0.00000236,0x00,0xFF
"SPI","disable",24.13660982,0.00000002,,
"SPI","enable",24.13661044,0.00000002,,
"SPI","result",24.13661088,0.00000236,0xF0,0xFF
"SPI","result",24.13661418,0.00000236,0x00,0x00
"SPI","result",24.13661754,0.00000236,0x00,0x6C
"SPI","disable",24.13662056,0.00000002,,
